Number_of_announcements,Number_of_withdrawals,Number_of_announced_NLRI_prefixes,Number_of_withdrawn_NLRI_prefixes,Number_of_Interior_Gateway_Protocol_IGP_packets,Number_of_incomplete_packets,Labels
25,6,45,16,25,0,Normal
31,4,57,30,26,5,Normal
28,4,83,20,26,2,Normal
60,7,153,64,55,5,Normal
45,5,111,18,42,3,Normal
68,5,113,31,60,8,Normal
42,4,95,19,32,10,Normal
86,6,155,50,77,9,Normal
59,6,106,30,47,12,Normal
178,7,768,158,171,7,Normal
139,5,607,59,131,8,Normal
90,6,542,31,84,6,Normal
41,6,90,13,36,5,Normal
50,3,110,10,44,6,Normal
49,6,130,12,39,10,Normal
30,7,49,14,14,16,Normal
32,4,47,15,22,10,Normal
48,8,101,27,39,9,Normal
45,5,60,44,42,3,Normal
45,4,77,8,43,2,Normal
41,7,73,20,39,2,Normal
30,4,37,7,30,0,Normal
55,6,86,25,51,4,Normal
78,6,157,32,72,6,Normal
49,4,84,19,46,3,Normal
41,6,58,17,39,2,Normal
40,2,59,2,34,6,Normal
41,6,54,11,37,4,Normal
40,3,51,10,27,13,Normal
34,4,45,10,32,2,Normal
64,6,397,29,57,7,Normal
61,7,117,27,57,4,Normal
47,5,81,21,45,2,Normal
75,5,127,31,71,4,Normal
68,6,122,9,65,3,Normal
58,6,130,16,58,0,Normal
20,6,27,36,19,1,Normal
32,2,44,4,26,6,Normal
45,3,56,7,32,13,Normal
31,4,53,11,27,4,Normal
40,5,66,23,33,7,Normal
31,6,55,20,19,12,Normal
34,5,70,32,28,6,Normal
33,2,56,9,26,7,Normal
28,6,40,13,25,3,Normal
42,3,79,5,36,6,Normal
29,6,52,11,28,1,Normal
26,5,46,13,25,1,Normal
36,4,48,6,27,9,Normal
49,4,65,12,43,6,Normal
52,5,90,24,47,5,Normal
50,6,77,24,48,2,Normal
68,6,159,30,67,1,Normal
46,4,92,17,43,3,Normal
57,5,81,12,38,19,Normal
54,7,109,25,40,14,Normal
51,6,100,20,46,5,Normal
57,5,129,8,52,5,Normal
119,7,257,37,111,8,Normal
36,6,72,32,29,7,Normal
30,5,56,20,25,5,Normal
50,5,72,15,40,10,Normal
46,5,86,15,36,10,Normal
84,6,141,17,77,7,Normal
87,3,119,6,74,13,Normal
84,6,170,17,77,7,Normal
47,6,71,15,45,2,Normal
32,4,68,4,31,1,Normal
95,6,308,21,94,1,Normal
49,3,128,7,48,1,Normal
35,5,52,11,30,5,Normal
18,4,29,11,16,2,Normal
35,4,72,26,27,8,Normal
74,4,187,8,61,13,Normal
29,4,60,6,23,6,Normal
47,5,80,7,41,6,Normal
40,8,68,18,37,3,Normal
54,5,98,14,50,4,Normal
52,5,71,27,49,3,Normal
40,4,64,6,38,2,Normal
58,4,145,11,53,5,Normal
35,5,96,25,22,13,Normal
50,6,107,17,42,8,Normal
36,4,60,22,29,7,Normal
38,6,77,15,26,12,Normal
52,5,133,30,41,11,Normal
39,4,83,25,34,5,Normal
33,4,75,11,22,11,Normal
27,3,55,11,24,3,Normal
39,6,89,19,35,4,Normal
65,4,126,26,44,21,Normal
50,6,61,17,35,15,Normal
65,6,371,20,46,19,Normal
89,7,261,29,67,22,Normal
76,4,168,10,60,12,Normal
44,5,79,17,36,8,Normal
42,4,112,9,29,13,Normal
44,7,73,12,42,2,Normal
31,7,45,17,31,0,Normal
52,4,131,8,44,8,Normal
68,6,154,31,59,9,Normal
76,7,135,42,63,13,Normal
59,7,116,31,53,6,Normal
44,5,79,8,41,3,Normal
180,7,705,90,171,9,Normal
54,6,132,19,42,12,Normal
48,6,75,68,36,12,Normal
49,5,109,20,27,22,Normal
35,5,77,15,25,10,Normal
49,7,107,26,39,10,Normal
51,8,88,27,43,4,Normal
61,5,119,23,51,10,Normal
56,5,107,31,45,11,Normal
50,5,77,49,40,10,Normal
48,5,97,13,41,7,Normal
44,5,90,16,36,8,Normal
30,6,42,11,28,2,Normal
31,4,39,7,27,4,Normal
41,4,65,10,34,7,Normal
41,6,74,14,34,7,Normal
34,7,51,16,30,4,Normal
35,5,79,11,31,4,Normal
31,3,37,3,29,2,Normal
29,3,53,16,22,7,Normal
30,4,56,16,24,6,Normal
38,7,52,11,33,5,Normal
41,4,63,7,33,8,Normal
46,4,84,18,41,5,Normal
40,4,104,11,37,3,Normal
26,4,38,12,25,1,Normal
25,4,48,14,22,3,Normal
30,6,51,11,28,2,Normal
29,4,73,9,23,6,Normal
39,5,93,17,32,7,Normal
31,4,40,4,29,2,Normal
27,5,39,5,21,6,Normal
39,5,55,7,32,7,Normal
30,4,72,12,28,2,Normal
33,6,51,19,17,16,Normal
50,5,94,17,38,12,Normal
38,4,87,20,30,8,Normal
25,3,38,9,23,2,Normal
48,5,66,9,39,9,Normal
49,5,66,10,43,6,Normal
29,3,51,5,24,5,Normal
28,5,40,7,24,4,Normal
41,4,58,13,35,6,Normal
23,5,27,7,17,6,Normal
13,5,13,9,11,2,Normal
19,5,28,6,14,5,Normal
29,7,33,14,25,4,Normal
49,3,77,14,41,8,Normal
39,3,67,19,34,5,Normal
64,4,123,30,38,26,Normal
45,4,69,6,33,12,Normal
26,5,29,9,21,5,Normal
37,5,52,11,31,6,Normal
40,4,54,7,33,7,Normal
39,5,72,14,30,9,Normal
25,5,57,24,21,4,Normal
28,5,56,15,18,10,Normal
37,4,91,8,20,17,Normal
29,7,62,53,23,6,Normal
29,6,37,26,21,8,Normal
49,3,106,6,29,20,Normal
35,6,48,13,25,10,Normal
45,5,69,15,39,6,Normal
39,3,59,6,31,8,Normal
40,6,50,16,33,7,Normal
54,5,67,13,48,6,Normal
57,5,81,27,39,18,Normal
45,5,82,9,27,18,Normal
52,5,89,16,40,12,Normal
41,5,50,11,38,3,Normal
30,4,40,11,27,3,Normal
22,4,25,9,20,2,Normal
31,4,39,4,21,10,Normal
17,4,45,16,15,2,Normal
38,5,72,16,29,9,Normal
38,2,46,7,31,7,Normal
26,5,75,13,23,3,Normal
29,5,40,8,22,7,Normal
32,6,49,10,25,7,Normal
40,5,97,10,31,9,Normal
32,5,100,17,24,8,Normal
27,5,57,12,22,5,Normal
31,4,36,6,24,7,Normal
54,5,77,9,43,11,Normal
36,7,55,39,23,13,Normal
36,4,55,9,28,8,Normal
39,6,85,10,36,3,Normal
38,4,58,43,36,2,Normal
36,5,48,15,29,7,Normal
34,5,48,9,31,3,Normal
38,5,89,17,34,4,Normal
46,4,119,15,41,5,Normal
177,5,734,11,165,12,Normal
147,5,648,19,140,7,Normal
61,5,113,8,50,10,Normal
70,7,144,41,60,10,Normal
54,5,78,10,42,12,Normal
41,5,64,16,34,7,Normal
28,6,41,19,23,5,Normal
21,4,23,9,20,1,Normal
35,2,43,3,32,3,Normal
60,6,73,21,53,7,Normal
53,7,83,20,48,5,Normal
40,4,52,12,38,2,Normal
56,4,97,15,50,6,Normal
47,5,84,8,41,6,Normal
38,5,96,11,36,2,Normal
22,2,31,5,15,7,Normal
29,4,56,7,20,9,Normal
66,5,133,20,51,15,Normal
75,6,170,37,61,14,Normal
33,6,49,23,28,5,Normal
29,4,54,12,18,11,Normal
30,6,48,24,24,6,Normal
51,5,75,9,36,15,Normal
28,6,46,16,18,10,Normal
30,4,47,15,22,8,Normal
35,2,47,2,31,4,Normal
18,5,20,9,15,3,Normal
19,4,22,12,16,3,Normal
26,4,33,10,21,5,Normal
50,5,130,9,44,6,Normal
25,4,47,20,23,2,Normal
27,3,62,7,21,6,Normal
36,4,55,14,25,11,Normal
31,3,48,10,23,8,Normal
37,6,47,23,27,10,Normal
34,5,54,13,27,7,Normal
36,4,51,8,30,6,Normal
25,5,43,16,22,3,Normal
37,1,58,3,23,14,Normal
59,3,93,20,46,13,Normal
49,7,95,27,37,12,Normal
35,5,87,30,25,10,Normal
41,5,72,23,33,8,Normal
32,4,67,8,23,9,Normal
39,5,79,14,32,7,Normal
71,7,130,27,61,10,Normal
76,7,166,29,68,8,Normal
33,6,36,16,32,1,Normal
22,3,31,5,22,0,Normal
32,5,54,7,31,1,Normal
26,4,39,6,21,5,Normal
39,3,52,12,31,8,Normal
30,7,40,19,22,8,Normal
54,4,90,18,46,8,Normal
40,4,82,8,32,8,Normal
27,3,41,12,23,4,Normal
35,1,60,2,26,9,Normal
33,3,46,11,29,4,Normal
40,6,62,11,30,10,Normal
23,5,40,11,17,6,Normal
32,3,43,5,28,4,Normal
39,4,62,6,28,11,Normal
53,4,94,23,34,19,Normal
58,6,116,25,45,13,Normal
41,6,73,17,36,5,Normal
29,4,53,7,22,7,Normal
30,5,80,24,23,7,Normal
24,5,42,7,21,3,Normal
34,4,72,10,30,4,Normal
137,3,570,3,116,21,Normal
160,3,951,8,147,13,Normal
70,4,372,8,67,3,Normal
156,4,680,9,126,30,Normal
28,3,34,6,24,4,Normal
43,5,52,12,29,14,Normal
41,4,53,16,27,14,Normal
34,5,49,11,21,13,Normal
24,4,38,7,19,5,Normal
32,5,55,33,28,4,Normal
22,5,30,10,21,1,Normal
29,3,97,5,26,3,Normal
35,5,102,17,31,4,Normal
35,5,89,13,31,4,Normal
42,5,127,13,38,4,Normal
33,6,109,7,26,7,Normal
39,5,42,11,28,11,Normal
35,3,44,7,29,6,Normal
34,5,75,12,29,5,Normal
42,5,113,14,37,5,Normal
34,6,111,22,27,7,Normal
38,4,85,15,33,5,Normal
36,6,102,33,36,0,Normal
63,6,261,115,62,1,Normal
68,5,198,41,60,8,Normal
50,5,141,17,45,5,Normal
39,6,70,69,37,2,Normal
60,7,119,38,55,5,Normal
39,5,67,10,33,6,Normal
30,5,65,18,27,3,Normal
40,3,74,12,40,0,Normal
25,5,34,7,22,3,Normal
31,4,37,11,26,5,Normal
301,7,893,54,275,26,Normal
314,6,622,17,299,14,Normal
56,9,77,19,50,6,Normal
60,1,76,1,50,10,Normal
32,5,42,10,27,5,Normal
50,6,69,13,39,11,Normal
72,4,139,9,65,7,Normal
475,8,1238,613,435,38,Normal
117,7,211,58,108,9,Normal
55,5,132,15,50,5,Normal
62,7,134,15,59,3,Normal
53,5,106,13,37,16,Normal
49,5,80,31,35,14,Normal
60,6,157,20,44,16,Normal
59,8,186,42,50,9,Normal
58,3,180,24,51,7,Normal
43,5,69,12,35,8,Normal
43,5,66,9,35,8,Normal
59,8,77,12,50,9,Normal
42,6,49,20,28,14,Normal
48,6,108,13,34,14,Normal
72,6,130,13,50,22,Normal
53,5,74,18,35,18,Normal
38,5,41,12,30,8,Normal
31,7,39,11,28,3,Normal
59,5,145,20,51,8,Normal
26,4,40,12,21,5,Normal
46,4,104,12,44,2,Normal
75,4,198,21,64,11,Normal
49,4,163,26,44,5,Normal
57,5,181,21,45,12,Normal
42,2,108,9,33,9,Normal
34,7,48,22,29,5,Normal
35,5,65,14,32,3,Normal
45,7,94,27,39,6,Normal
38,4,56,6,37,1,Normal
32,4,35,12,26,6,Normal
33,6,55,13,22,11,Normal
32,4,54,10,22,10,Normal
43,4,119,6,33,10,Normal
44,5,135,32,35,9,Normal
53,5,91,33,50,3,Normal
79,5,131,22,71,8,Normal
51,5,132,8,40,11,Normal
43,6,67,12,34,9,Normal
32,5,44,9,26,6,Normal
29,3,112,11,24,5,Normal
61,4,235,9,53,8,Normal
37,4,68,10,31,6,Normal
39,5,224,31,29,10,Normal
56,5,96,10,44,12,Normal
53,6,88,10,42,11,Normal
38,4,124,20,31,7,Normal
53,5,190,9,51,2,Normal
47,5,151,43,34,13,Normal
57,6,163,88,41,16,Normal
64,5,264,12,52,12,Normal
54,6,111,26,37,17,Normal
33,7,109,36,31,2,Normal
32,5,75,15,25,7,Normal
26,1,36,4,23,3,Normal
31,4,45,6,23,8,Normal
41,5,119,16,36,5,Normal
28,5,80,14,28,0,Normal
25,7,48,15,24,1,Normal
43,5,334,14,41,2,Normal
58,4,109,66,50,8,Normal
63,5,130,28,52,11,Normal
56,6,194,26,42,14,Normal
69,5,224,63,58,11,Normal
62,5,200,16,54,8,Normal
36,6,61,13,28,8,Normal
42,6,115,6,34,8,Normal
51,2,126,23,45,6,Normal
64,6,99,31,60,4,Normal
43,6,95,11,38,5,Normal
31,4,105,17,27,4,Normal
28,3,79,10,20,8,Normal
51,5,121,13,38,13,Normal
43,5,63,11,42,1,Normal
49,5,92,15,34,15,Normal
25,4,41,10,22,3,Normal
39,5,85,12,29,10,Normal
55,6,122,15,51,4,Normal
50,3,85,3,45,5,Normal
45,6,55,15,40,5,Normal
40,5,48,13,36,4,Normal
40,5,67,7,34,6,Normal
35,6,82,13,28,7,Normal
29,5,34,9,24,5,Normal
30,4,36,5,18,12,Normal
38,6,55,18,28,10,Normal
39,3,61,5,33,6,Normal
45,4,54,9,34,10,Normal
33,5,37,12,25,6,Normal
36,6,43,10,32,4,Normal
27,5,46,10,27,0,Normal
36,5,50,8,23,13,Normal
35,6,38,15,31,4,Normal
35,6,39,9,31,4,Normal
32,6,43,16,26,6,Normal
36,4,60,8,34,2,Normal
24,5,43,14,22,2,Normal
36,5,81,24,23,13,Normal
43,7,73,25,40,3,Normal
61,5,82,6,55,6,Normal
77,6,111,18,70,7,Normal
101,9,151,31,92,9,Normal
59,6,91,22,56,3,Normal
50,6,74,12,45,5,Normal
52,4,114,7,46,6,Normal
44,5,125,12,42,2,Normal
25,6,106,125,19,6,Normal
46,2,152,8,39,7,Normal
54,4,160,9,45,9,Normal
43,4,57,9,41,2,Normal
42,7,49,19,34,8,Normal
54,4,77,24,48,6,Normal
47,4,100,11,36,11,Normal
47,7,96,30,37,10,Normal
54,7,93,29,42,12,Normal
33,4,57,6,33,0,Normal
30,5,40,8,30,0,Normal
16,5,18,7,14,2,Normal
15,2,23,5,13,2,Normal
18,4,36,7,18,0,Normal
24,7,47,13,21,3,Normal
41,3,60,3,31,10,Normal
30,4,55,6,24,6,Normal
75,6,215,18,68,7,Normal
62,6,166,33,54,8,Normal
59,4,163,40,52,7,Normal
60,7,192,113,43,17,Normal
77,6,334,185,60,17,Normal
83,6,338,36,73,10,Normal
56,3,199,12,45,11,Normal
48,5,80,42,43,5,Normal
37,5,56,12,35,2,Normal
41,7,62,14,33,8,Normal
35,6,67,24,30,5,Normal
42,4,90,8,42,0,Normal
23,3,40,17,23,0,Normal
34,6,54,24,27,7,Normal
32,5,49,14,30,2,Normal
29,4,37,10,29,0,Normal
37,5,55,17,31,6,Normal
61,5,105,13,51,10,Normal
45,6,89,25,36,9,Normal
39,5,58,20,34,5,Normal
24,5,30,19,18,6,Normal
25,5,32,14,23,2,Normal
24,4,29,6,14,10,Normal
23,5,27,10,14,9,Normal
48,4,62,9,35,13,Normal
34,4,72,26,29,5,Normal
53,7,139,22,39,14,Normal
36,4,76,23,31,5,Normal
28,4,81,45,26,2,Normal
24,3,52,16,22,2,Normal
31,3,39,3,31,0,Normal
49,6,79,17,43,6,Normal
54,3,100,23,48,6,Normal
32,4,63,24,30,2,Normal
70,7,501,70,68,2,Normal
21,5,55,190,20,1,Normal
20,6,40,191,19,1,Normal
22,5,37,9,18,4,Normal
36,3,56,7,29,7,Normal
31,3,40,3,27,4,Normal
64,8,88,21,56,8,Normal
37,5,44,8,34,3,Normal
29,6,44,10,27,2,Normal
47,5,65,11,34,13,Normal
34,5,53,21,30,4,Normal
52,5,107,16,42,10,Normal
52,6,88,18,46,6,Normal
51,7,52,17,40,11,Normal
27,6,27,13,24,3,Normal
48,5,178,60,32,16,Normal
49,6,144,16,38,11,Normal
34,6,57,18,24,10,Normal
55,8,94,158,36,19,Normal
44,7,129,63,34,10,Normal
45,7,132,14,40,5,Normal
56,6,68,9,44,12,Normal
51,7,96,66,39,12,Normal
50,4,210,12,42,8,Normal
33,3,64,8,25,8,Normal
68,7,100,15,54,14,Normal
72,4,96,7,70,2,Normal
57,4,110,12,53,4,Normal
29,5,39,20,26,3,Normal
26,8,32,19,23,3,Normal
65,3,76,6,58,7,Normal
70,5,116,8,66,4,Normal
61,5,114,27,51,10,Normal
49,4,79,13,45,4,Normal
29,2,60,4,27,2,Normal
29,4,112,8,26,3,Normal
35,3,144,18,24,11,Normal
62,5,107,17,49,13,Normal
44,7,73,24,31,13,Normal
39,4,72,9,36,3,Normal
27,4,36,9,23,4,Normal
52,4,63,12,42,10,Normal
82,6,174,15,62,20,Normal
38,3,66,33,24,14,Normal
30,2,55,5,23,7,Normal
54,6,98,41,43,11,Normal
66,6,202,18,60,6,Normal
44,6,99,15,43,1,Normal
89,3,296,7,86,3,Normal
54,3,117,10,44,10,Normal
40,6,74,14,39,1,Normal
67,8,111,26,62,5,Normal
50,3,91,4,48,2,Normal
41,5,54,12,37,4,Normal
39,4,58,11,36,3,Normal
45,6,71,22,45,0,Normal
41,5,86,10,37,4,Normal
39,5,58,16,36,3,Normal
46,6,66,9,46,0,Normal
43,6,56,11,40,3,Normal
93,5,174,8,82,11,Normal
36,5,82,15,35,1,Normal
27,4,59,12,25,2,Normal
30,4,45,15,26,4,Normal
20,5,24,21,18,2,Normal
36,3,41,8,31,5,Normal
50,6,77,15,36,14,Normal
45,4,80,9,32,13,Normal
53,5,150,15,44,9,Normal
55,7,122,39,44,11,Normal
69,6,195,37,64,5,Normal
89,6,226,51,84,5,Normal
53,5,88,13,49,4,Normal
45,4,61,12,45,0,Normal
63,6,115,13,60,3,Normal
46,6,67,21,41,5,Normal
49,3,77,11,41,8,Normal
31,6,63,18,26,5,Normal
67,6,107,20,58,9,Normal
54,4,98,7,44,10,Normal
50,3,73,10,43,7,Normal
26,5,56,11,23,3,Normal
69,6,111,17,61,8,Normal
50,4,74,10,45,5,Normal
33,3,41,10,27,6,Normal
22,5,39,11,13,9,Normal
38,5,53,11,27,11,Normal
37,3,66,20,30,7,Normal
49,4,108,9,41,8,Normal
63,4,177,8,63,0,Normal
51,5,75,6,45,6,Normal
30,4,137,20,18,12,Normal
28,4,47,13,23,5,Normal
47,6,74,14,38,9,Normal
68,4,138,21,56,12,Normal
91,5,338,29,89,2,Normal
86,5,267,67,80,6,Normal
76,5,160,71,72,4,Normal
34,4,50,12,28,6,Normal
53,3,98,14,49,4,Normal
77,6,216,9,67,10,Normal
59,5,160,30,56,3,Normal
33,1,60,1,29,4,Normal
25,5,54,11,20,5,Normal
50,7,70,16,45,5,Normal
61,6,93,20,59,2,Normal
53,6,104,19,48,5,Normal
44,5,60,16,33,11,Normal
51,6,111,8,50,1,Normal
31,6,72,17,28,3,Normal
58,5,225,17,54,4,Normal
42,7,89,14,41,1,Normal
58,6,95,21,58,0,Normal
59,6,127,31,57,2,Normal
67,11,145,321,55,12,Normal
38,4,84,7,34,4,Normal
35,6,64,23,32,3,Normal
22,4,36,15,14,8,Normal
22,3,45,5,21,1,Normal
34,4,58,19,33,1,Normal
33,4,81,8,31,2,Normal
55,5,87,12,49,6,Normal
69,7,185,32,67,2,Normal
57,5,106,16,51,6,Normal
47,6,115,16,39,8,Normal
54,7,99,12,47,7,Normal
41,6,57,13,29,12,Normal
54,5,221,22,44,10,Normal
45,5,110,14,34,11,Normal
71,4,142,9,64,7,Normal
37,4,48,15,26,11,Normal
48,6,94,16,48,0,Normal
28,7,51,19,24,4,Normal
28,6,34,22,23,5,Normal
47,6,106,11,41,6,Normal
57,6,145,25,54,3,Normal
51,7,119,32,43,8,Normal
44,6,119,27,41,3,Normal
31,3,68,15,31,0,Normal
42,5,74,32,37,5,Normal
36,7,61,9,32,4,Normal
45,6,91,25,41,4,Normal
41,6,79,24,40,1,Normal
37,5,80,12,32,5,Normal
49,4,132,31,43,6,Normal
31,6,79,13,27,4,Normal
19,4,28,7,15,4,Normal
31,2,69,3,31,0,Normal
60,6,88,18,52,8,Normal
23,6,35,20,17,6,Normal
25,6,36,9,23,2,Normal
49,5,91,11,44,5,Normal
49,5,100,22,44,5,Normal
67,6,109,34,59,8,Normal
112,6,182,24,104,8,Normal
92,5,138,14,81,11,Normal
77,7,231,18,71,6,Normal
49,4,90,23,41,8,Normal
28,3,46,6,26,2,Normal
39,4,99,19,31,8,Normal
36,5,91,7,30,6,Normal
48,6,119,36,41,7,Normal
49,5,77,17,42,7,Normal
38,5,75,12,35,3,Normal
32,6,64,32,30,2,Normal
43,6,81,29,40,3,Normal
41,4,80,20,35,6,Normal
30,5,60,25,26,4,Normal
47,6,102,14,33,14,Normal
57,4,108,15,45,12,Normal
41,4,51,11,38,3,Normal
45,7,61,15,37,8,Normal
66,4,105,17,60,6,Normal
45,4,68,9,41,4,Normal
54,6,100,23,41,13,Normal
56,7,214,36,49,7,Normal
73,7,163,22,65,8,Normal
74,6,158,23,69,5,Normal
30,5,46,22,27,3,Normal
37,1,60,1,36,1,Normal
74,4,299,11,71,3,Normal
49,5,233,14,47,2,Normal
55,4,185,32,47,8,Normal
54,5,150,31,49,5,Normal
52,5,185,66,49,3,Normal
47,6,255,32,40,7,Normal
43,3,121,8,35,8,Normal
39,5,83,80,37,2,Normal
40,4,82,8,37,3,Normal
43,4,130,24,35,8,Normal
46,4,70,8,40,6,Normal
43,6,93,14,35,8,Normal
57,5,113,24,50,7,Normal
56,7,75,24,49,7,Normal
85,6,315,30,78,7,Normal
45,6,226,61,42,3,Normal
42,4,155,17,39,3,Normal
58,5,88,78,57,1,Normal
55,6,318,24,48,7,Normal
75,8,444,183,71,4,Normal
57,7,308,55,45,12,Normal
24,5,42,106,20,4,Normal
27,3,50,13,19,8,Normal
31,2,45,7,24,7,Normal
29,3,31,7,26,3,Normal
35,4,47,8,34,1,Normal
29,5,42,16,25,4,Normal
53,7,95,21,45,8,Normal
35,2,73,6,30,5,Normal
42,4,54,7,41,1,Normal
21,5,29,8,19,2,Normal
11,2,29,4,11,0,Normal
33,4,129,5,29,4,Normal
52,4,213,8,48,4,Normal
75,7,181,12,68,7,Normal
38,6,62,26,35,3,Normal
34,4,52,8,29,5,Normal
33,5,49,18,33,0,Normal
51,6,124,27,48,3,Normal
29,6,86,24,25,4,Normal
26,4,43,18,26,0,Normal
45,6,59,22,43,2,Normal
82,5,142,11,71,11,Normal
39,6,49,15,35,4,Normal
58,4,98,44,51,7,Normal
65,6,163,14,60,5,Normal
282,5,721,16,266,16,Normal
77,7,118,404,72,5,Normal
65,6,108,51,59,6,Normal
37,3,69,15,30,7,Normal
52,6,224,9,42,10,Normal
49,3,108,4,45,4,Normal
50,7,78,26,42,8,Normal
45,6,68,12,39,6,Normal
43,5,75,40,36,7,Normal
39,3,63,8,29,10,Normal
46,4,89,17,35,11,Normal
58,6,154,11,37,21,Normal
53,3,118,25,42,11,Normal
44,8,74,22,33,11,Normal
33,4,50,8,22,11,Normal
28,5,48,15,22,6,Normal
40,5,71,22,34,6,Normal
38,7,41,19,32,6,Normal
39,3,57,6,37,2,Normal
34,5,38,12,31,3,Normal
25,6,38,9,23,2,Normal
88,6,1550,12,70,18,Normal
69,5,1516,10,51,18,Normal
67,6,139,30,61,6,Normal
62,6,120,26,51,11,Normal
33,4,47,25,24,9,Normal
49,5,185,9,47,2,Normal
33,4,71,10,33,0,Normal
34,4,55,41,32,2,Normal
51,3,99,5,42,9,Normal
36,6,86,13,28,8,Normal
49,5,108,15,41,8,Normal
29,4,67,7,21,8,Normal
37,5,50,14,27,10,Normal
37,6,52,25,27,10,Normal
35,5,60,9,27,8,Normal
43,6,67,9,36,7,Normal
62,5,156,12,48,14,Normal
48,4,83,25,31,17,Normal
42,4,82,10,27,15,Normal
44,5,73,26,37,7,Normal
34,6,68,26,32,2,Normal
34,3,37,6,26,8,Normal
38,5,50,13,30,8,Normal
76,7,175,19,60,16,Normal
32,5,66,16,29,3,Normal
30,4,55,29,29,1,Normal
28,6,37,17,21,7,Normal
32,5,49,8,29,3,Normal
57,5,90,14,51,6,Normal
52,5,110,18,45,7,Normal
56,4,128,8,48,7,Normal
72,4,127,12,60,11,Normal
76,5,188,17,71,5,Normal
62,5,123,16,61,1,Normal
36,5,58,11,36,0,Normal
50,5,69,10,49,1,Normal
26,4,46,12,24,2,Normal
52,5,86,10,34,18,Normal
56,6,76,19,49,7,Normal
66,6,124,21,65,1,Normal
41,7,93,26,41,0,Normal
38,7,78,16,35,3,Normal
46,5,76,11,45,1,Normal
42,4,76,19,41,1,Normal
45,3,69,19,43,2,Normal
51,5,101,11,49,2,Normal
36,4,71,16,33,3,Normal
38,4,75,6,36,2,Normal
24,7,29,18,18,6,Normal
58,5,189,11,50,8,Normal
108,6,429,36,105,3,Normal
313,8,1307,100,302,11,Normal
84,6,282,41,79,5,Normal
146,7,706,26,140,6,Normal
58,3,194,21,54,4,Normal
177,5,896,14,172,5,Normal
145,6,608,23,139,6,Normal
35,5,58,5,31,4,Normal
37,8,49,26,37,0,Normal
45,6,75,12,43,2,Normal
40,4,80,5,33,7,Normal
45,3,151,4,41,4,Normal
46,5,121,12,41,5,Normal
54,7,75,19,46,8,Normal
41,6,207,33,41,0,Normal
69,4,315,10,62,7,Normal
85,6,271,16,75,10,Normal
34,3,143,23,30,4,Normal
39,5,177,15,36,3,Normal
55,5,113,17,50,5,Normal
73,5,141,63,66,7,Normal
81,4,198,19,75,6,Normal
71,6,138,36,62,9,Normal
36,4,68,9,34,2,Normal
31,5,75,12,29,2,Normal
36,6,72,23,30,6,Normal
41,5,58,14,39,2,Normal
24,4,34,10,20,4,Normal
49,8,62,25,40,9,Normal
46,5,78,18,32,14,Normal
79,6,144,63,62,17,Normal
75,7,181,37,69,6,Normal
73,6,195,26,71,2,Normal
38,6,95,23,35,3,Normal
58,5,118,14,55,3,Normal
52,6,83,24,51,1,Normal
59,6,138,81,56,3,Normal
83,5,217,40,74,9,Normal
54,4,103,15,49,5,Normal
61,6,98,24,54,7,Normal
28,4,39,7,24,4,Normal
21,3,23,6,21,0,Normal
42,6,62,12,39,3,Normal
50,6,92,12,49,1,Normal
37,5,73,9,35,2,Normal
30,4,46,5,30,0,Normal
41,3,61,4,31,10,Normal
34,4,52,11,29,5,Normal
31,6,55,18,28,3,Normal
59,6,105,31,50,9,Normal
54,4,93,13,48,6,Normal
62,7,107,32,49,13,Normal
23,4,41,18,23,0,Normal
39,7,57,11,31,5,Normal
42,5,46,19,36,6,Normal
42,5,54,13,37,5,Normal
52,5,74,16,51,1,Normal
76,5,155,10,73,3,Normal
93,5,164,23,92,1,Normal
68,4,128,18,67,1,Normal
51,4,100,15,48,3,Normal
53,6,83,29,48,5,Normal
47,6,78,20,41,6,Normal
45,5,100,12,41,4,Normal
66,5,97,30,65,1,Normal
58,6,151,76,56,2,Normal
70,6,166,31,60,10,Normal
35,7,64,69,28,7,Normal
54,3,101,16,53,1,Normal
46,4,151,22,40,6,Normal
83,2,332,3,76,7,Normal
91,5,227,13,87,4,Normal
44,5,82,9,37,7,Normal
51,3,94,25,48,3,Normal
57,5,103,34,51,6,Normal
51,6,94,22,40,11,Normal
45,5,80,18,42,3,Normal
55,3,142,4,44,11,Normal
31,5,67,30,23,8,Normal
48,6,94,20,41,7,Normal
42,5,84,29,32,10,Normal
42,5,55,19,36,6,Normal
35,4,38,11,32,3,Normal
66,3,91,17,61,5,Normal
50,7,103,53,50,0,Normal
70,6,147,11,69,1,Normal
48,6,124,22,43,5,Normal
42,5,77,24,32,10,Normal
71,5,150,13,54,17,Normal
44,1,88,9,32,12,Normal
40,6,72,22,33,7,Normal
34,4,70,14,29,5,Normal
19,3,23,5,16,3,Normal
33,4,54,15,25,8,Normal
52,3,105,14,47,5,Normal
49,7,82,20,46,3,Normal
36,4,67,5,35,1,Normal
31,3,66,5,25,6,Normal
48,4,80,9,46,2,Normal
67,7,125,43,56,11,Normal
83,5,181,18,63,20,Normal
56,5,102,24,47,9,Normal
49,5,84,15,46,3,Normal
73,5,152,9,68,5,Normal
54,6,82,28,45,9,Normal
39,6,92,18,33,6,Normal
31,5,46,15,26,5,Normal
45,6,94,16,36,7,Normal
44,6,98,25,34,10,Normal
28,3,51,11,25,3,Normal
